,t0,dt0,month,lon,lat,inversion_strength,inversion_height,low_level_stability,rh_sub_850,surf_wind_velocity,wind_shear,dt_
0,-27.56195,2020-02-16 22:43:34.370000+00:00,2,79.62757226352862,88.06934904385733,6.222931,579.74927,5.231018,0.27318576,6.1423397,1.4321003,2020-02-16 22:43:34.370
2,-24.137451,2020-02-25 16:51:36.069000+00:00,2,44.3850075039012,88.54954144391887,6.794998,570.0273,4.5905,0.22431162,12.269664,9.219295,2020-02-25 16:51:36.069
4,-29.049454,2020-02-26 16:49:32.343000+00:00,2,39.222763654438204,88.47302480081856,8.806351,890.78546,8.317902,0.2744851,8.542025,4.6152344,2020-02-26 16:49:32.343
5,-31.95578,2020-02-14 22:42:29.193000+00:00,2,80.03880756731378,88.05881398791107,16.932709,1403.4277,15.924835,0.20601013,3.4858487,6.5466413,2020-02-14 22:42:29.193
6,-24.911026,2020-02-13 22:45:08.350000+00:00,2,81.89140349698066,87.9947130474896,10.60408,1706.7655,10.089676,0.3898766,6.459057,8.307389,2020-02-13 22:45:08.350
7,-32.0085,2020-02-27 16:52:28.653000+00:00,2,36.03928661921794,88.39663500096005,8.899124,1316.2413,8.855698,0.30328867,6.2117686,0.0925889,2020-02-27 16:52:28.653
8,-20.016525,2020-02-21 17:06:35.093000+00:00,2,66.06164869555118,88.52619573719394,0.5657501,384.6743,-2.3001862,0.23217244,9.247584,7.275569,2020-02-21 17:06:35.093
9,-36.442947,2020-02-29 10:52:53.953000+00:00,2,31.947939093990087,88.27840391531626,10.012451,1083.1238,9.76059,0.2831477,7.235352,-1.7372494,2020-02-29 10:52:53.953
11,-28.301048,2020-02-12 22:46:21.568000+00:00,2,86.20334474207566,87.92254600331808,10.514839,946.4108,9.47052,0.24055454,9.0855465,13.152668,2020-02-12 22:46:21.568
12,-35.47101,2020-02-28 10:48:00.337000+00:00,2,33.956314934414635,88.34572699300818,10.272308,1336.2847,10.106384,0.4340049,7.1365423,0.852674,2020-02-28 10:48:00.337
13,-11.968872,2020-02-20 16:56:43.714000+00:00,2,68.21884426802862,88.41796540827768,0.13665771,13.13402,-0.6012573,0.31326517,5.3096747,13.357262,2020-02-20 16:56:43.714
14,-35.732635,2020-02-28 05:11:34.696000+00:00,2,34.514851495811214,88.361811745252,10.494156,1276.3539,10.457428,0.28147438,5.230265,2.4092383,2020-02-28 05:11:34.696
16,-26.925652,2020-02-09 23:04:49.339000+00:00,2,92.35712002351694,87.76165009053682,6.3297806,1479.7882,5.061981,0.222975,5.5098763,9.224768,2020-02-09 23:04:49.339
20,-19.22754,2020-02-22 16:54:26.013000+00:00,2,64.22363157430597,88.5775601099143,2.3349,154.09587,-1.8953857,0.24988447,5.8949823,5.784972,2020-02-22 16:54:26.013
21,-29.95562,2020-02-10 22:53:56.370000+00:00,2,90.96979746329632,87.8075547283263,11.203285,819.6168,10.129181,0.12287338,6.9349566,4.400961,2020-02-10 22:53:56.370
22,-31.238968,2020-02-27 11:19:25.507000+00:00,2,36.7715677864061,88.41260706842831,8.789886,698.53455,8.186523,0.26087317,6.2390423,1.2381077,2020-02-27 11:19:25.507
27,-19.939125,2020-02-03 22:48:42.708000+00:00,2,94.43059984422571,87.448909701684,4.3294754,598.5919,1.2655792,0.27901974,5.9503975,9.136968,2020-02-03 22:48:42.708
28,-26.138733,2020-02-26 04:51:43.162000+00:00,2,41.455202519126686,88.51217636619866,7.428467,490.33374,5.9560547,0.22214827,10.039943,5.7148895,2020-02-26 04:51:43.162
29,-22.706268,2020-02-06 22:51:41.916000+00:00,2,93.78913673393471,87.62819807598224,2.334015,2107.1584,1.4087219,0.65669113,5.569453,-0.034733295,2020-02-06 22:51:41.916
30,-22.322792,2020-02-25 10:53:20.106000+00:00,2,46.12367378498662,88.5632092303042,6.979927,345.27667,3.6188965,0.29078975,11.284424,6.930975,2020-02-25 10:53:20.106
32,-29.799568,2020-02-27 04:53:42.018000+00:00,2,37.53798221490718,88.43322744132207,8.361275,619.54614,8.00853,0.30544576,4.430644,3.25945,2020-02-27 04:53:42.018
34,-31.934586,2020-02-12 04:50:36.787000+00:00,2,88.17011809036741,87.85744279159545,7.8795166,968.05994,6.7080383,0.13641988,4.919398,14.393637,2020-02-12 04:50:36.787
36,-19.289574,2020-02-22 10:53:21.708000+00:00,2,64.61339622479076,88.57685560215819,0.15839386,13.5350685,-0.9152374,0.24306414,5.3930025,6.8295803,2020-02-22 10:53:21.708
40,-29.75277,2020-02-17 22:48:43.844000+00:00,2,78.11309141526257,88.07956606710285,11.148094,861.2151,9.206665,0.24606334,4.9479747,0.726387,2020-02-17 22:48:43.844
41,-36.04812,2020-02-28 16:53:15.170000+00:00,2,33.40763411498953,88.32935203815299,10.4806595,972.07184,10.0327,0.2873445,6.286191,1.2997794,2020-02-28 16:53:15.170
43,-37.571114,2020-02-01 22:48:13.673000+00:00,2,95.72312904889253,87.33974988992534,10.093758,2037.3179,7.686157,0.29545262,4.016634,1.0732222,2020-02-01 22:48:13.673
44,-15.831512,2020-02-23 04:48:28.256000+00:00,2,62.49379302246038,88.58066190849513,2.0939026,523.9157,-1.2895813,0.24371336,5.413463,8.384932,2020-02-23 04:48:28.256
45,-18.939713,2020-02-21 10:51:07.532000+00:00,2,66.51524493001645,88.49875294172473,0.0050354004,0.20051987,-5.9405975,0.20515907,6.52829,9.199243,2020-02-21 10:51:07.532
47,-19.34748,2020-02-22 04:50:04.551000+00:00,2,65.10024534331605,88.56806051324885,0.8278122,1185.4546,0.28178406,0.251805,6.3745775,9.168576,2020-02-22 04:50:04.551
50,-30.2471,2020-02-11 10:47:47.038000+00:00,2,89.92279322607986,87.8229125679904,9.341187,369.53528,7.2624664,0.19584535,8.583849,5.3564262,2020-02-11 10:47:47.038
53,-15.283142,2020-02-18 16:52:37.839000+00:00,2,76.45380178107486,88.1371169700204,1.7853394,415.85037,-1.1235046,0.3935479,8.007223,7.1209984,2020-02-18 16:52:37.839
54,-28.279846,2020-02-13 04:51:13.712000+00:00,2,85.31476356715528,87.94431572778372,9.998001,1247.0867,9.810425,0.29994062,7.486582,16.440363,2020-02-13 04:51:13.712
55,-37.630264,2020-02-01 17:01:55.109000+00:00,2,95.84872114979169,87.36446409811958,9.965515,2227.1824,8.247482,0.23547113,6.958025,6.3101587,2020-02-01 17:01:55.109
57,-34.0347,2020-02-02 16:51:47.437000+00:00,2,94.30580976587895,87.35836971281918,13.974274,1623.2848,10.381638,0.24446194,5.837026,-3.7951512,2020-02-02 16:51:47.437
61,-33.840866,2020-02-27 22:51:43.400000+00:00,2,35.26862599786016,88.37930482120461,8.864624,1386.2932,8.584656,0.29403076,8.365398,0.7220192,2020-02-27 22:51:43.400
62,-31.532242,2020-02-11 04:48:07.933000+00:00,2,90.50498523943835,87.81672789699815,9.641495,1112.0858,9.234253,0.15925491,6.5625277,11.690829,2020-02-11 04:48:07.933
64,-36.007385,2020-02-28 22:39:21.945000+00:00,2,32.919800438745675,88.31278629028017,10.238663,1256.0088,10.228027,0.2687839,7.589245,-1.2949152,2020-02-28 22:39:21.945
65,-31.778214,2020-02-12 10:56:24.017000+00:00,2,87.55120552180476,87.87681414724847,11.524139,952.52454,10.372864,0.17087643,9.893962,8.245561,2020-02-12 10:56:24.017
68,-29.157227,2020-02-17 04:50:23.262000+00:00,2,79.34110469822048,88.07134389664024,8.801834,788.746,7.791733,0.26075062,5.0290194,2.184142,2020-02-17 04:50:23.262
71,-26.79802,2020-02-04 16:51:28.417000+00:00,2,95.34527133212494,87.49369305813448,9.695541,498.24982,8.904816,0.21965657,5.9874997,3.133573,2020-02-04 16:51:28.417
73,-26.29776,2020-02-16 10:48:59.941000+00:00,2,79.75093284418735,88.06717012233743,4.613678,722.99115,3.7234344,0.2419808,2.1039546,12.999545,2020-02-16 10:48:59.941
75,-34.929245,2020-02-15 04:50:30.910000+00:00,2,79.92909496556553,88.06902757420981,18.643814,1613.1722,17.936447,0.21833132,5.701191,-1.4377036,2020-02-15 04:50:30.910
76,-33.17137,2020-02-17 10:57:39.423000+00:00,2,78.92872424260167,88.073609346255,12.0529785,913.43585,11.95137,0.2511877,6.9926157,2.1882582,2020-02-17 10:57:39.423
77,-22.977028,2020-02-24 10:59:21.751000+00:00,2,54.79588932293762,88.58973259193073,6.396858,825.2336,6.1879272,0.43188006,10.551296,10.199245,2020-02-24 10:59:21.751
78,-20.973602,2020-02-14 04:52:27.323000+00:00,2,80.99422071192042,88.0115685811649,10.04422,884.66907,9.272842,0.38067934,7.548073,4.763629,2020-02-14 04:52:27.323
80,-14.170166,2020-02-03 10:49:26.453000+00:00,2,93.38312804286345,87.42014125692025,0.5782776,6.416584,-5.1791534,0.35166147,5.4436297,3.2640338,2020-02-03 10:49:26.453
81,-12.844086,2020-02-19 04:49:29.491000+00:00,2,74.59998305316107,88.20984388932378,0.5414734,704.8488,-1.8840637,0.45307064,10.569897,15.007605,2020-02-19 04:49:29.491
84,-29.617859,2020-02-18 04:53:37.252000+00:00,2,77.81367025541151,88.08742542627914,12.962219,457.75305,8.746826,0.25545996,6.7799497,0.41050768,2020-02-18 04:53:37.252
85,-32.295334,2020-02-02 10:55:10.777000+00:00,2,94.85291687723655,87.35008840786722,9.135941,1973.894,5.1883545,0.22372878,7.1373243,-5.5996,2020-02-02 10:55:10.777
86,-12.676941,2020-02-19 22:44:46.763000+00:00,2,70.84229400570769,88.32759457177555,2.4501343,958.4407,2.165924,0.3747901,11.773481,5.3391094,2020-02-19 22:44:46.763
88,-27.203712,2020-02-01 05:14:51.047000+00:00,2,96.2352292660002,87.46695598499761,6.5576096,1228.7416,5.42511,0.24327725,14.643391,-2.8500671,2020-02-01 05:14:51.047
92,-21.829124,2020-02-18 10:49:46.730000+00:00,2,77.20001335169187,88.1074817772673,8.054588,670.56696,5.714691,0.27109286,5.940962,5.4388266,2020-02-18 10:49:46.730
97,-25.551918,2020-02-03 04:51:28.931000+00:00,2,93.22410538343698,87.40367751313165,11.489082,466.2716,7.962631,0.32842365,6.05959,5.8534694,2020-02-03 04:51:28.931
98,-18.530815,2020-02-21 22:43:32.350000+00:00,2,65.61227999647976,88.55109015681785,0.21013641,2.2057185,-2.2168427,0.2677013,10.695411,9.317246,2020-02-21 22:43:32.350
101,-25.27626,2020-02-05 04:54:28.083000+00:00,2,95.13980716657007,87.52699495258351,8.238022,828.7363,6.2375946,0.16842866,5.00686,8.67258,2020-02-05 04:54:28.083
102,-30.596619,2020-02-17 16:56:44.962000+00:00,2,78.46657558100479,88.07548695140527,11.477768,1134.4376,11.625092,0.27604103,5.4207444,3.0662389,2020-02-17 16:56:44.962
104,-26.602371,2020-02-16 16:59:03.773000+00:00,2,79.71168222015375,88.06661396370266,5.1100464,685.90326,3.8036346,0.28419137,3.979395,5.3418055,2020-02-16 16:59:03.773
105,-23.284271,2020-02-04 04:52:51.318000+00:00,2,95.00120856811793,87.46594718698861,7.7493896,969.2598,6.1903687,0.17128967,6.1711664,9.352663,2020-02-04 04:52:51.318
108,-26.114967,2020-02-04 10:54:23.489000+00:00,2,95.31114504275,87.47799860291694,9.218575,459.55548,8.256485,0.20023218,5.519946,5.3498917,2020-02-04 10:54:23.489
109,-26.163025,2020-02-07 04:50:16.619000+00:00,2,93.74763418371192,87.63501313581311,5.9241943,1660.3655,4.151016,0.27609268,4.366673,3.816671,2020-02-07 04:50:16.619
110,-35.10029,2020-02-15 16:51:26.417000+00:00,2,79.76090888406327,88.06817240169178,12.314049,2095.6423,10.779816,0.23652297,4.725684,1.5073814,2020-02-15 16:51:26.417
111,-25.237976,2020-02-25 23:10:21.975000+00:00,2,42.766054276851946,88.53003215459334,7.010437,333.74796,4.8171387,0.23707493,8.15213,10.973351,2020-02-25 23:10:21.975
113,-28.76616,2020-02-26 22:46:31.041000+00:00,2,38.35135177962742,88.45327997405856,8.1501465,804.4845,7.438919,0.2793128,7.021337,2.9153504,2020-02-26 22:46:31.041
114,-25.80017,2020-02-14 16:50:50.650000+00:00,2,80.1263460246477,88.04454251738979,11.201447,1549.8394,10.673538,0.2651641,3.1418734,11.111354,2020-02-14 16:50:50.650
117,-25.362854,2019-11-11 04:53:46.868000+00:00,11,116.43842088043523,85.87059165597537,5.417145,427.97086,3.6938171,0.21923888,6.531106,7.5361996,2019-11-11 04:53:46.868
