time,t0,dt0,month,lon,lat,inversion_strength,inversion_height,low_level_stability,t_850hpa,rh_sub_850,surf_wind_velocity,wind_shear,dt_,temp_2m,down_long_hemisp,up_long_hemisp,lat_tower,lon_tower,rlns
2019-12-08 04:52:47.829000+00:00,-20.47284,2019-12-08 04:52:47.829000+00:00,12,121.45046017655402,86.2519868557957,0.2310791,1161.7795,0.03982544,-20.433014,0.18117794,6.8729305,15.752731,2019-12-08 04:52:47.829,-20.7873805,193.95072443163554,226.50600407213847,86.24910965555554,121.41781492083335,-32.55527964050293
2019-12-08 10:47:31.803000+00:00,-18.501953,2019-12-08 10:47:31.803000+00:00,12,121.31571716436922,86.2870336654838,1.3558044,724.58325,0.09208679,-18.409866,0.13076769,10.321243,1.4728928,2019-12-08 10:47:31.803,-20.437992066666666,167.2893801720174,225.42680673207602,86.28474930861111,121.27958893861111,-58.13742656005863
2019-12-08 16:52:39.736000+00:00,-22.217873,2019-12-08 16:52:39.736000+00:00,12,121.19486667990597,86.32399680269467,6.476509,879.2431,4.6021423,-17.64038,0.16534695,6.282138,8.677745,2019-12-08 16:52:39.736,-22.71808535,159.61296270755767,217.00231063816074,86.321132555,121.16294119372222,-57.389347930603066
2019-12-09 04:59:28.786000+00:00,-22.775894,2019-12-09 04:59:28.786000+00:00,12,121.00171292038388,86.38199853266971,6.9533844,700.22675,3.7749634,-18.823853,0.21961033,7.508155,1.4105434,2019-12-09 04:59:28.786,-23.313348216666668,161.54814451358794,215.204600190773,86.37931200749999,120.96781816055557,-53.65645567718505
2019-12-09 18:14:53.430000+00:00,-23.776688,2019-12-09 18:14:53.430000+00:00,12,120.91033723743381,86.43874164533636,7.157547,345.57153,1.8677216,-21.908966,0.11739766,7.705607,3.472793,2019-12-09 18:14:53.430,-24.616159200000002,153.70401584218342,210.49172709706622,86.43571411083333,120.87700370833333,-56.787711254882794
2019-12-10 11:13:15.404000+00:00,-19.997025,2019-12-10 11:13:15.404000+00:00,12,121.04317382775973,86.50543660195079,9.392471,205.22221,3.3267975,-16.670227,0.17547226,6.0176034,0.37247086,2019-12-10 11:13:15.404,-20.925777316666665,170.06825987668353,223.56447484921773,86.50236999916665,121.00804194142779,-53.496214972534204
2019-12-11 04:54:09.907000+00:00,-24.802048,2019-12-11 04:54:09.907000+00:00,12,120.82108339759588,86.56075707582622,10.094559,532.7287,7.54335,-17.319809,0.11767489,5.6915073,2.994237,2019-12-11 04:54:09.907,-25.722948633333335,158.53613797864278,206.81248505688987,86.55761395305557,120.78627875555557,-48.276347078247085
2019-12-11 16:55:01.717000+00:00,-26.145477,2019-12-11 16:55:01.717000+00:00,12,120.51091831703982,86.58537666293661,11.969421,703.9371,11.294312,-14.851166,0.1297607,6.329174,-1.7250867,2019-12-11 16:55:01.717,-27.088169900000004,158.21093379483543,202.2601122805532,86.58255794472223,120.46981666861113,-44.04917848571776
2019-12-11 22:51:32.993000+00:00,-25.213837,2019-12-11 22:51:32.993000+00:00,12,120.31779395712,86.59307261476508,11.399506,1389.38,11.398468,-13.815369,0.10591242,4.492627,-0.5457325,2019-12-11 22:51:32.993,-28.154808299999996,158.79643065786996,198.9203365199915,86.59004735611111,120.28219396194443,-40.123905862121546
2019-12-13 04:58:32.717000+00:00,-24.37967,2019-12-13 04:58:32.717000+00:00,12,119.41927235364017,86.59234171892044,12.078461,763.57715,11.230652,-13.149017,0.2675762,4.974033,3.9830718,2019-12-13 04:58:32.717,-24.402681583333337,184.78619621431986,214.07156389803566,86.58910977388888,119.38186099361113,-29.285367683715805
