time,t0,dt0,month,lon,lat,inversion_strength,inversion_height,low_level_stability,t_850hpa,rh_sub_850,surf_wind_velocity,wind_shear,dt_,temp_2m,down_long_hemisp,up_long_hemisp,lat_tower,lon_tower,wspd_u_mean_2m,wspd_v_mean_2m,wspd_u_mean_6m,wspd_v_mean_6m,wspd_u_mean_10m,wspd_v_mean_10m,wspd_tower_2m,wspd_tower_6m,wspd_tower_10m,rlns
2020-02-16 22:43:34.370000+00:00,-27.56195,2020-02-16 22:43:34.370000+00:00,2,79.62757226352862,88.06934904385733,6.222931,579.74927,5.231018,-22.340195,0.27318576,6.1423397,1.4321003,2020-02-16 22:43:34.370,-29.01256641666667,140.19026867258708,194.95428654856363,88.06559984972222,79.60979281472223,-1.6134882858607635,3.465442100813044,-2.204256020058925,4.359316607896483,-2.5154482484046654,5.133215459160936,3.8226474337424095,4.884914112842529,5.716413284619204,-54.76401787597655
2020-02-17 04:50:23.262000+00:00,-29.157227,2020-02-17 04:50:23.262000+00:00,2,79.34110469822048,88.07134389664024,8.801834,788.746,7.791733,-21.809845,0.26075062,5.0290194,2.184142,2020-02-17 04:50:23.262,-30.228131466666667,136.6903657794571,191.97342211826327,88.06763419291666,79.32237555083333,-3.567213288424503,2.7826919653941786,-4.3594033105380445,3.2939993346151724,-4.853776238501589,3.803911305979478,4.524199953514618,5.463957250965207,6.166756440561045,-55.283056338806176
2020-02-17 10:57:39.423000+00:00,-33.17137,2020-02-17 10:57:39.423000+00:00,2,78.92872424260167,88.073609346255,12.0529785,913.43585,11.95137,-21.209763,0.2511877,6.9926157,2.1882582,2020-02-17 10:57:39.423,-33.87562043333333,139.2688872610855,183.399536456337,88.06991708005555,78.90473912416667,-4.464699440223653,0.9929594575832095,-5.178352495623779,1.0286051344556228,-5.717739778762987,1.2743867788332834,4.57378503823008,5.2795229984877885,5.858038053795289,-44.13064919525149
2020-02-17 16:56:44.962000+00:00,-30.596619,2020-02-17 16:56:44.962000+00:00,2,78.46657558100479,88.07548695140527,11.477768,1134.4376,11.625092,-19.11885,0.27604103,5.4207444,3.0662389,2020-02-17 16:56:44.962,-30.598112266666668,191.80696075878146,197.0968457639694,88.07180299119446,78.44311286583334,-4.744647164051735,-0.27750569021414073,-5.353154707148597,-0.47023021013390903,-5.723844850406603,-0.3492323367273654,4.752755634307891,5.373767930343639,5.734488913280959,-5.289885005187955
2020-02-17 22:48:43.844000+00:00,-29.75277,2020-02-17 22:48:43.844000+00:00,2,78.11309141526257,88.07956606710285,11.148094,861.2151,9.206665,-20.576141,0.24606334,4.9479747,0.726387,2020-02-17 22:48:43.844,-30.238401966666665,150.93686273272198,190.81526283220927,88.07591652694444,78.09390030913889,-2.2940355371299637,-0.1555758901698696,-2.9861780801070763,-0.35264502316965,-3.5185921005197742,-0.3570599859693675,2.299304873916747,3.006928339431837,3.536662579808908,-39.878400099487294
2020-02-18 04:53:37.252000+00:00,-29.617859,2020-02-18 04:53:37.252000+00:00,2,77.81367025541151,88.08742542627914,12.962219,457.75305,8.746826,-20.538666,0.25545996,6.7799497,0.41050768,2020-02-18 04:53:37.252,-30.008967616666666,155.50424294652302,194.04943741551716,88.08367413841667,77.79864207805555,-3.656634406270662,-0.7699796227232041,-4.51359292194582,-1.0261805279421752,-5.158541229315787,-0.9705373086125221,3.736822687863496,4.62877603054707,5.249046606952511,-38.54519446899414
2020-02-18 10:49:46.730000+00:00,-21.829124,2020-02-18 10:49:46.730000+00:00,2,77.20001335169187,88.1074817772673,8.054588,670.56696,5.714691,-16.000122,0.27109286,5.940962,5.4388266,2020-02-18 10:49:46.730,-22.411481116666668,203.5441630965551,221.77634985040027,88.10418887558335,77.17655756022222,-6.724512929318142,0.01815943184082803,-7.7718651601384465,-0.05011946120740176,-8.346596723230263,0.2575989476745922,6.724537448890566,7.772026764478203,8.350570883363677,-18.232186753845156
2020-02-18 16:52:37.839000+00:00,-15.283142,2020-02-18 16:52:37.839000+00:00,2,76.45380178107486,88.1371169700204,1.7853394,415.85037,-1.1235046,-16.406647,0.3935479,8.007223,7.1209984,2020-02-18 16:52:37.839,-15.4942594,234.7502009925842,246.94205978775025,88.13358431938889,76.43826536166667,-7.473033138847685,1.9711343289599608,-8.510479573667295,2.1311756545874077,-9.104626352234273,2.5479871320164023,7.728621794157101,8.773264628661005,9.454441254707755,-12.191858795166041
2020-02-19 04:49:29.491000+00:00,-12.844086,2020-02-19 04:49:29.491000+00:00,2,74.59998305316107,88.20984388932378,0.5414734,704.8488,-1.8840637,-14.728149,0.45307064,10.569897,15.007605,2020-02-19 04:49:29.491,-12.904795149999998,256.88672432403564,259.51457975616455,88.20655472583334,74.59877922083334,-9.750685984502397,2.3782631211631973,-11.10608442698562,2.637954012671666,-11.889988842735914,3.0751423689416906,10.036533895815646,11.41507392320799,12.281218802286881,-2.6278554321289107
2020-02-19 22:44:46.763000+00:00,-12.676941,2020-02-19 22:44:46.763000+00:00,2,70.84229400570769,88.32759457177555,2.4501343,958.4407,2.165924,-10.511017,0.3747901,11.773481,5.3391094,2020-02-19 22:44:46.763,-12.682175299999999,259.0991486973317,260.7116762614187,88.32366137805556,70.86329038944446,-8.249104067290206,1.7883280323840083,-9.54574085052408,1.899807643268294,-10.247286308975962,2.226001980587204,8.440724794968396,9.732956255258976,10.486274911316427,-1.6125275640869745
