,time,temp_2m,temp_2m_qc,down_long_hemisp,down_long_hemisp_qc,up_long_hemisp,up_long_hemisp_qc,lat_tower,lon_tower
8368,2020-01-01 07:00:00,-31.28062958333333,0.0,134.7869830675761,0.0,189.6179646776835,0.0,86.67384038055556,118.03969914547221
8369,2020-01-01 07:10:00,-31.756690049999996,0.0,134.3128997926966,0.0,188.21117464651746,0.0,86.67480987944444,118.03754092697223
8370,2020-01-01 07:20:00,-31.727945616666666,0.0,134.1753285779826,0.0,188.76437697642007,0.0,86.67576158472221,118.03518627316666
8371,2020-01-01 07:30:00,-31.5342445,0.0,134.36992587726596,0.0,189.61380880664825,0.0,86.67663761416667,118.03253395777779
8372,2020-01-01 07:40:00,-31.28403323333334,0.0,134.5890378646596,0.0,190.44153924832662,0.0,86.67750753083332,118.02951043047224
8373,2020-01-01 07:50:00,-31.118693683333326,0.0,134.4383168548584,0.0,191.31653964538572,0.0,86.67840104416669,118.02617516486112
8374,2020-01-01 08:00:00,-31.01389205,0.0,134.51370649608612,0.0,191.35337944805144,0.0,86.67930394527778,118.02272540238887
8375,2020-01-01 08:10:00,-30.803173999999995,0.0,134.79257209475196,0.0,191.8267819781748,0.0,86.68020735777777,118.01916990758335
8376,2020-01-01 08:20:00,-30.607317366666667,0.0,135.04471563976284,0.0,192.46696626018525,0.0,86.68112416138891,118.01540438489721
8377,2020-01-01 08:30:00,-30.650621649999998,0.0,134.96686770491283,0.0,192.10910903883618,0.0,86.68207030972222,118.01151748306943
8378,2020-01-01 08:40:00,-30.603599250000002,0.0,134.84078818561554,0.0,192.12904144702912,0.0,86.6830476875,118.00738977151113
8379,2020-01-01 08:50:00,-30.63495095,0.0,134.63392784140268,0.0,192.07378757071177,0.0,86.68403864472222,118.003071628575
8380,2020-01-01 09:00:00,-30.8231022,0.0,134.43880702897388,0.0,191.34145865647633,0.0,86.685029405,117.99861110814166
8381,2020-01-01 09:10:00,-30.811743183333327,0.0,134.31226268068949,0.0,191.33569274965924,0.0,86.68602546277778,117.99389968555556
8382,2020-01-01 09:20:00,-30.703647683333333,0.0,134.49259676172892,0.0,191.96342815699262,0.0,86.68702549833333,117.98913500611108
8383,2020-01-01 09:30:00,-30.785989850000004,0.0,134.51071002694448,0.0,191.52814926736193,0.0,86.68804152777777,117.98427585777776
8384,2020-01-01 09:40:00,-30.79296073333333,0.0,134.35690517238615,0.0,191.45038599178315,0.0,86.6890648886111,117.97942271166667
8385,2020-01-01 09:50:00,-30.874244283333336,0.0,134.1184165024948,0.0,191.2907942908859,0.0,86.69008416472221,117.97434887111108
8386,2020-01-01 10:00:00,-30.912704966666666,0.0,134.12944429030102,0.0,191.17093744307198,0.0,86.69109805638888,117.96908555361112
8387,2020-01-01 10:10:00,-30.844961083333335,0.0,134.00141846886953,0.0,191.48479173638663,0.0,86.69210291916667,117.96383059027778
8388,2020-01-01 10:20:00,-30.865995350000002,0.0,133.84952651727042,0.0,191.40001946740466,0.0,86.69311200611111,117.95849772277776
8389,2020-01-01 10:30:00,-30.89654921666667,0.0,133.80818471744536,0.0,191.28013663486482,0.0,86.69412352833334,117.95303683583333
8390,2020-01-01 10:40:00,-30.883713266666668,0.0,133.76505314020795,0.0,191.32873955012005,0.0,86.69514410805554,117.94752997916666
8391,2020-01-01 10:50:00,-30.947329516666667,0.0,133.55218002150218,0.0,191.14220578169505,0.0,86.69617101694443,117.94203727333334
8392,2020-01-01 11:00:00,-30.987416000000003,0.0,133.47689403006234,0.0,191.01204726034797,0.0,86.69719293833332,117.9364310388889
8393,2020-01-01 11:10:00,-30.990590750000003,0.0,133.27527415536247,0.0,190.91413457253776,0.0,86.69820409416668,117.93079130999999
8394,2020-01-01 11:20:00,-30.997282333333334,0.0,133.26480593078617,0.0,190.96492049621583,0.0,86.69918851861112,117.92507358194443
8395,2020-01-01 11:30:00,-31.005223116666667,0.0,133.240521164182,0.0,190.96019139947256,0.0,86.70016436638889,117.91927955333333
8396,2020-01-01 11:40:00,-31.01016093333334,0.0,133.3411759050115,0.0,191.02385278153736,0.0,86.70114553583333,117.91344615111113
8397,2020-01-01 11:50:00,-30.94682965,0.0,133.45863825681053,0.0,191.06405574155173,0.0,86.70213280166666,117.90753831444445
8398,2020-01-01 12:00:00,-30.927391399999998,0.0,133.56175238592783,0.0,191.15896235327403,0.0,86.7031147952778,117.90157338055558
8399,2020-01-01 12:10:00,-30.995181349999996,0.0,133.61141036679587,0.0,190.95847879147846,0.0,86.704091385,117.89561229472224
8400,2020-01-01 12:20:00,-31.099362399999997,0.0,133.69752830744423,0.0,190.76232170466105,0.0,86.70506450027779,117.88961925250001
8401,2020-01-01 12:30:00,-31.178028949999998,0.0,133.90542694493612,0.0,190.45184211461384,0.0,86.70603171500001,117.88357776638888
8402,2020-01-01 12:40:00,-31.3174488,0.0,133.82417414033253,0.0,190.08095931153616,0.0,86.70698943027777,117.8775548036111
8403,2020-01-01 12:50:00,-31.364071799999998,0.0,133.52964457725528,0.0,189.85790983421325,0.0,86.70794096472221,117.87147688249999
8404,2020-01-01 13:00:00,-31.38027525,0.0,133.7745763662211,0.0,190.0385810573832,0.0,86.70889526722223,117.86545419000001
8405,2020-01-01 13:10:00,-31.403569850000004,0.0,134.10491039995833,0.0,190.0192611317698,0.0,86.70984880666667,117.85943972333332
8406,2020-01-01 13:20:00,-31.41626413333333,0.0,134.26628715937298,0.0,189.95948532709758,0.0,86.71080098222221,117.85339428416667
8407,2020-01-01 13:30:00,-31.406456899999995,0.0,134.27756185715992,0.0,190.11192467606864,0.0,86.71174716555555,117.84733989888889
8408,2020-01-01 13:40:00,-31.3767587,0.0,134.53624857245126,0.0,190.23870248755136,0.0,86.71268943055556,117.84136817861113
8409,2020-01-01 13:50:00,-31.391185966666665,0.0,134.98724983142853,0.0,190.1706870015335,0.0,86.71362379500002,117.8353918475
8410,2020-01-01 14:00:00,-31.418901366666667,0.0,135.43838796587627,0.0,190.19281044329327,0.0,86.71454210527779,117.82939193194446
8411,2020-01-01 14:10:00,-31.37641418333333,0.0,135.81620221679688,0.0,190.31468018554688,0.0,86.71544568305555,117.82333102666666
8412,2020-01-01 14:20:00,-31.414973816666667,0.0,135.43210892869314,0.0,190.33569307572685,0.0,86.7163339125,117.81730386805557
8413,2020-01-01 14:30:00,-31.45831718333333,0.0,134.9739468303172,0.0,190.20590876818338,0.0,86.71721000805556,117.81126518083333
8414,2020-01-01 14:40:00,-31.50974695,0.0,134.69378875237786,0.0,190.02137602135977,0.0,86.71807919805555,117.8051396525
8415,2020-01-01 14:50:00,-31.511585716666666,0.0,134.53503746964773,0.0,189.98183769822438,0.0,86.71894252555555,117.79887851583332
8416,2020-01-01 15:00:00,-31.513810766666673,0.0,134.83303126041412,0.0,190.12245613437653,0.0,86.71980465555556,117.79254000472224
8417,2020-01-01 15:10:00,-31.538870833333334,0.0,135.01749336725874,0.0,190.14633868586225,0.0,86.72065874638889,117.78605599694447
8418,2020-01-01 15:20:00,-31.564671016666665,0.0,135.06933298870086,0.0,190.106957195549,0.0,86.72150115916666,117.77947860166667
8419,2020-01-01 15:30:00,-31.560175116666663,0.0,135.19363547664642,0.0,190.06707049282076,0.0,86.72233416777779,117.77272217250001
8420,2020-01-01 15:40:00,-31.53925286666667,0.0,135.38197129299164,0.0,190.21828563533785,0.0,86.72315728277779,117.76592374472223
8421,2020-01-01 15:50:00,-31.473147033333333,0.0,135.87944643126167,0.0,190.3868466506831,0.0,86.72396692166667,117.75899443111109
8422,2020-01-01 16:00:00,-31.45692306666667,0.0,136.44596217777251,0.0,190.50439027439117,0.0,86.72477034888888,117.75198451694446
8423,2020-01-01 16:10:00,-31.396900249999998,0.0,137.3150072817739,0.0,190.7502491781362,0.0,86.72555590111112,117.74465495194445
8424,2020-01-01 16:20:00,-31.306780383333336,0.0,138.4942187400055,0.0,191.13667322669986,0.0,86.72631525083334,117.73687058222224
8425,2020-01-01 16:30:00,-31.2060835,0.0,139.38061340676626,0.0,191.5512603009923,0.0,86.72707836166667,117.72887163
8426,2020-01-01 16:40:00,-31.051162116666667,0.0,140.65863331189473,0.0,192.05261885938006,0.0,86.72784490194445,117.72075887222222
8427,2020-01-01 16:50:00,-31.00837341666667,0.0,140.17266857573193,0.0,192.12122382933302,0.0,86.7286109261111,117.71246272916667
8428,2020-01-01 17:00:00,-30.976645133333335,0.0,139.62053741565703,0.0,192.2690382918167,0.0,86.72937120444445,117.70410085194445
8429,2020-01-01 17:10:00,-30.938879299999996,0.0,139.51335622447968,0.0,192.34809148113254,0.0,86.73013420750002,117.69561998861111
8430,2020-01-01 17:20:00,-30.863417716666664,0.0,139.60070270201365,0.0,192.45107167631784,0.0,86.73087721527779,117.68704669055555
8431,2020-01-01 17:30:00,-30.815432333333337,0.0,139.81385776299794,0.0,192.8314823024877,0.0,86.73160130777778,117.6781535111111
8432,2020-01-01 17:40:00,-30.714969049999997,0.0,140.44111005657194,0.0,193.19441206859588,0.0,86.7323166775,117.66903676388888
8433,2020-01-01 17:50:00,-30.67823226666667,0.0,141.00508497138978,0.0,193.20466160896302,0.0,86.73303576027777,117.65982082194444
8434,2020-01-01 18:00:00,-30.637229599999994,0.0,141.14629323415122,0.0,193.34525507985433,0.0,86.7337615138889,117.65057159833334
8435,2020-01-01 18:10:00,-30.562153766666665,0.0,141.6982569666163,0.0,193.5874195462672,0.0,86.73448301666667,117.64106713777778
8436,2020-01-01 18:20:00,-30.55500911666666,0.0,142.93048894104004,0.0,193.41284554016116,0.0,86.73520234722223,117.6314625713889
8437,2020-01-01 18:30:00,-30.51898696666667,0.0,144.73751918031056,0.0,193.6980736947759,0.0,86.73592557583333,117.62189014138889
8438,2020-01-01 18:40:00,-30.471464883333333,0.0,145.50016551963807,0.0,193.882383720932,0.0,86.73664870944444,117.61230129666667
8439,2020-01-01 18:50:00,-30.387772233333333,0.0,146.16727119890845,0.0,194.08634753863015,0.0,86.7373616363889,117.60269939444444
