,t0,dt0,month,lon,lat,inversion_strength,inversion_height,low_level_stability,t_850hpa,rh_sub_850,surf_wind_velocity,wind_shear,dt_
0,-27.56195,2020-02-16 22:43:34.370000+00:00,2,79.62757226352862,88.06934904385733,6.222931,579.74927,5.231018,-22.340195,0.27318576,6.1423397,1.4321003,2020-02-16 22:43:34.370
1,-23.26799,2020-02-24 16:52:23.852000+00:00,2,52.539957278413766,88.584139408011,,17379.168,5.9559326,-17.312057,0.33925304,12.822152,6.246299,2020-02-24 16:52:23.852
2,-24.137451,2020-02-25 16:51:36.069000+00:00,2,44.3850075039012,88.54954144391887,6.794998,570.0273,4.5905,-19.546951,0.22431162,12.269664,9.219295,2020-02-25 16:51:36.069
3,,2020-02-15 22:44:46.693000+00:00,2,79.74426213885063,88.06785589141707,,494.14185,10.335236,-26.076447,0.22841766,,,2020-02-15 22:44:46.693
4,-29.049454,2020-02-26 16:49:32.343000+00:00,2,39.222763654438204,88.47302480081856,8.806351,890.78546,8.317902,-20.591187,0.2744851,8.542025,4.6152344,2020-02-26 16:49:32.343
5,-31.95578,2020-02-14 22:42:29.193000+00:00,2,80.03880756731378,88.05881398791107,16.932709,1403.4277,15.924835,-15.914368,0.20601013,3.4858487,6.5466413,2020-02-14 22:42:29.193
6,-24.911026,2020-02-13 22:45:08.350000+00:00,2,81.89140349698066,87.9947130474896,10.60408,1706.7655,10.089676,-14.975983,0.3898766,6.459057,8.307389,2020-02-13 22:45:08.350
7,-32.0085,2020-02-27 16:52:28.653000+00:00,2,36.03928661921794,88.39663500096005,8.899124,1316.2413,8.855698,-23.4272,0.30328867,6.2117686,0.0925889,2020-02-27 16:52:28.653
8,-20.016525,2020-02-21 17:06:35.093000+00:00,2,66.06164869555118,88.52619573719394,0.5657501,384.6743,-2.3001862,-22.316711,0.23217244,9.247584,7.275569,2020-02-21 17:06:35.093
9,-36.442947,2020-02-29 10:52:53.953000+00:00,2,31.947939093990087,88.27840391531626,10.012451,1083.1238,9.76059,-26.682358,0.2831477,7.235352,-1.7372494,2020-02-29 10:52:53.953
10,-31.236725,2020-02-11 22:52:14.305000+00:00,2,88.75636850660607,87.84156992807776,,6676.817,6.9137573,-24.322968,0.19270857,7.3725567,14.023005,2020-02-11 22:52:14.305
11,-28.301048,2020-02-12 22:46:21.568000+00:00,2,86.20334474207566,87.92254600331808,10.514839,946.4108,9.47052,-18.928894,0.24055454,9.0855465,13.152668,2020-02-12 22:46:21.568
12,-35.47101,2020-02-28 10:48:00.337000+00:00,2,33.956314934414635,88.34572699300818,10.272308,1336.2847,10.106384,-25.510681,0.4340049,7.1365423,0.852674,2020-02-28 10:48:00.337
13,-11.968872,2020-02-20 16:56:43.714000+00:00,2,68.21884426802862,88.41796540827768,0.13665771,13.13402,-0.6012573,-12.570129,0.31326517,5.3096747,13.357262,2020-02-20 16:56:43.714
14,-35.732635,2020-02-28 05:11:34.696000+00:00,2,34.514851495811214,88.361811745252,10.494156,1276.3539,10.457428,-25.310013,0.28147438,5.230265,2.4092383,2020-02-28 05:11:34.696
15,-26.244957,2020-02-08 22:51:25.292000+00:00,2,93.48783873038226,87.70369975453305,,24982.506,8.644257,-17.461395,0.2620715,3.807485,6.940698,2020-02-08 22:51:25.292
16,-26.925652,2020-02-09 23:04:49.339000+00:00,2,92.35712002351694,87.76165009053682,6.3297806,1479.7882,5.061981,-21.89598,0.222975,5.5098763,9.224768,2020-02-09 23:04:49.339
17,-20.511276,2020-02-23 16:50:53.413000+00:00,2,60.34387161129305,88.59767237661539,,21701.072,3.5138702,-16.997406,0.24554618,9.310931,5.1011877,2020-02-23 16:50:53.413
18,,2020-02-07 22:46:23.423000+00:00,2,93.88507776152231,87.6541991551926,,28048.527,11.739059,-17.642838,0.13903373,,,2020-02-07 22:46:23.423
19,,2020-02-29 04:49:00.224000+00:00,2,32.35681795637496,88.29521698174545,,1073.001,9.308182,-26.884003,0.26887625,,,2020-02-29 04:49:00.224
20,-19.22754,2020-02-22 16:54:26.013000+00:00,2,64.22363157430597,88.5775601099143,2.3349,154.09587,-1.8953857,-21.122925,0.24988447,5.8949823,5.784972,2020-02-22 16:54:26.013
21,-29.95562,2020-02-10 22:53:56.370000+00:00,2,90.96979746329632,87.8075547283263,11.203285,819.6168,10.129181,-19.963104,0.12287338,6.9349566,4.400961,2020-02-10 22:53:56.370
22,-31.238968,2020-02-27 11:19:25.507000+00:00,2,36.7715677864061,88.41260706842831,8.789886,698.53455,8.186523,-22.803497,0.26087317,6.2390423,1.2381077,2020-02-27 11:19:25.507
23,-27.686928,2020-02-04 23:09:35.040000+00:00,2,95.29780009276882,87.50751085951703,,20601.256,8.018417,-19.537613,0.1767574,4.2536387,6.9696107,2020-02-04 23:09:35.040
24,,2020-02-24 04:49:26.670000+00:00,2,57.1279448690579,88.59372377962752,,16963.936,6.1097565,-19.430817,0.29154179,,,2020-02-24 04:49:26.670
25,-26.065567,2020-02-26 10:55:50.817000+00:00,2,40.229305612032356,88.49246631703764,,12487.538,5.6171875,-20.44838,0.24876963,11.294117,3.3095217,2020-02-26 10:55:50.817
26,-19.88469,2020-02-25 05:15:02.664000+00:00,2,48.05611464313744,88.57161299185277,,9537.591,1.7362518,-18.148438,0.44128746,9.213364,11.55265,2020-02-25 05:15:02.664
27,-19.939125,2020-02-03 22:48:42.708000+00:00,2,94.43059984422571,87.448909701684,4.3294754,598.5919,1.2655792,-18.65007,0.27901974,5.9503975,9.136968,2020-02-03 22:48:42.708
28,-26.138733,2020-02-26 04:51:43.162000+00:00,2,41.455202519126686,88.51217636619866,7.428467,490.33374,5.9560547,-20.156815,0.22214827,10.039943,5.7148895,2020-02-26 04:51:43.162
29,-22.706268,2020-02-06 22:51:41.916000+00:00,2,93.78913673393471,87.62819807598224,2.334015,2107.1584,1.4087219,-21.297546,0.65669113,5.569453,-0.034733295,2020-02-06 22:51:41.916
30,-22.322792,2020-02-25 10:53:20.106000+00:00,2,46.12367378498662,88.5632092303042,6.979927,345.27667,3.6188965,-18.61528,0.29078975,11.284424,6.930975,2020-02-25 10:53:20.106
31,-27.160553,2020-02-05 22:57:05.218000+00:00,2,94.32772623526094,87.57958579314571,,27029.986,2.7771606,-24.383392,0.20251985,5.37297,4.688874,2020-02-05 22:57:05.218
32,-29.799568,2020-02-27 04:53:42.018000+00:00,2,37.53798221490718,88.43322744132207,8.361275,619.54614,8.00853,-21.848236,0.30544576,4.430644,3.25945,2020-02-27 04:53:42.018
33,-16.943954,2020-02-21 04:50:50.980000+00:00,2,67.1029953422214,88.47155812519284,,27970.771,-7.343216,-24.425552,0.18633264,5.8934946,15.317403,2020-02-21 04:50:50.980
34,-31.934586,2020-02-12 04:50:36.787000+00:00,2,88.17011809036741,87.85744279159545,7.8795166,968.05994,6.7080383,-25.226547,0.13641988,4.919398,14.393637,2020-02-12 04:50:36.787
35,,2020-02-18 22:54:52.044000+00:00,2,75.6781966405921,88.17256367963842,,542.66003,-1.7818298,-14.227051,0.4468096,,,2020-02-18 22:54:52.044
36,-19.289574,2020-02-22 10:53:21.708000+00:00,2,64.61339622479076,88.57685560215819,0.15839386,13.5350685,-0.9152374,-20.30307,0.24306414,5.3930025,6.8295803,2020-02-22 10:53:21.708
