,Unnamed: 0,t0,dt0,month,inversion_strength,inversion_height,low_level_stability,rh_sub_850,surf_wind_velocity,wind_shear,dt_,rlus,rlds,rlns,T_surf,lat,lon
0,0,-16.224999999999994,1997-10-17 04:00:00,10,0.0,-0.0,-3.641666666666673,0.5766090440564531,-999.0,1005.2832505763972,1997-10-17 04:00:00,,,,,,
1,1,-17.854545454545452,1997-10-18 20:00:00,10,3.6545454545454543,877.9848209147315,1.3545454545454518,0.602644044921407,-999.0,1001.2898218409224,1997-10-18 20:00:00,,,,,,
2,2,-17.95,1997-10-18 23:00:00,10,3.9499999999999993,619.4603075596583,1.75,0.6005777315748848,-999.0,1001.906663707506,1997-10-18 23:00:00,,,,,,
3,3,-13.225,1997-10-20 04:00:00,10,0.6250000000000018,931.7001013050184,-2.174999999999999,0.4446644703603412,-999.0,1004.97,1997-10-20 04:00:00,,,,,,
4,4,-8.026923076923076,1997-10-20 23:00:00,10,0.0,-0.0,-6.073076923076924,0.8874218437987003,-999.0,1010.645,1997-10-20 23:00:00,,,,,,
5,5,-6.666666666666667,1997-10-21 11:00:00,10,0.0,-0.0,-7.783333333333332,0.7867567491865898,-999.0,1008.4391919853005,1997-10-21 11:00:00,,,,,,
6,6,-5.7,1997-10-21 23:00:00,10,0.0,-0.0,-8.499999999999996,0.8538567918626483,-999.0,1008.1599131707692,1997-10-21 23:00:00,,,,,,
7,7,-7.774999999999999,1997-10-22 11:00:00,10,0.5499999999999998,242.03896338681503,-6.791666666666669,0.814404808021187,-999.0,1004.0532972604116,1997-10-22 11:00:00,,,,,,
8,8,-10.2375,1997-10-22 23:00:00,10,0.0,-0.0,-5.6625,0.7881217112913872,-999.0,1006.5438077776122,1997-10-22 23:00:00,,,,,,
9,9,-16.8,1997-10-23 11:00:00,10,5.300000000000001,743.1424847481492,1.825000000000001,0.6585531954426094,-999.0,1008.1898087558096,1997-10-23 11:00:00,,,,,,
10,10,-18.72727272727273,1997-10-23 23:00:00,10,8.027272727272731,436.9991400008228,2.860606060606063,0.6721856138332469,-999.0,1000.6282884983252,1997-10-23 23:00:00,,,,,,
11,11,-22.171428571428574,1997-10-24 11:00:00,10,10.946428571428577,277.57396925458704,6.211428571428579,0.6163759080659558,-999.0,1005.8552219458616,1997-10-24 11:00:00,,,,,,
12,12,-22.17857142857144,1997-10-24 23:00:00,10,9.928571428571438,366.8407954192864,3.828571428571436,0.613487841441304,-999.0,1005.7546296290084,1997-10-24 23:00:00,,,,,,
13,13,-20.04814814814815,1997-10-25 11:00:00,10,8.948148148148151,528.3942693008661,3.9481481481481495,0.6864065760262896,-999.0,1006.0549973136566,1997-10-25 11:00:00,,,,,,
14,14,-22.946153846153848,1997-10-25 23:00:00,10,7.896153846153847,582.3454970485145,6.996153846153849,0.4010225788671754,-999.0,1006.645,1997-10-25 23:00:00,,,,,,
15,15,-27.28400000000001,1997-10-26 11:00:00,10,14.250666666666678,874.8778950602212,12.109000000000009,0.3532544937329345,-999.0,1014.672495526647,1997-10-26 11:00:00,,,,,,
16,16,-28.500000000000004,1997-10-26 23:00:00,10,13.316666666666668,952.1172861736436,11.820000000000004,0.2793086123760434,-999.0,1009.415026679298,1997-10-26 23:00:00,,,,,,
17,17,-26.9875,1997-10-27 23:00:00,10,12.8625,955.5034402209972,11.6875,0.4421318077168989,-999.0,1004.295,1997-10-27 23:00:00,,,,,,
